from_station,to_station,edge_type,flow_direction,distance_m,travel_time_days,notes
L1,BH1,primary,vertical,1600,180,Vertical vadose-saturated recharge - north flowpath
L1,BH3,secondary,vertical,3100,280,Vertical secondary recharge via central flowpath
L2,BH2,primary,vertical,1800,200,Vertical vadose-saturated recharge - south flowpath
L2,BH4,secondary,vertical,2500,240,Vertical secondary recharge via western flowpath
L3,BH1,secondary,vertical,1500,170,Vertical cross-gradient recharge from east
L3,BH3,primary,vertical,2200,220,Vertical primary recharge from agricultural plot
L4,BH2,secondary,vertical,1900,190,Vertical cross-gradient recharge from west
L4,BH4,primary,vertical,1200,150,Vertical primary recharge from western agricultural area
BH1,AW1,primary,lateral,2600,120,Lateral flow to upper production zone
BH1,AW3,secondary,lateral,3700,180,Lateral flow to eastern production zone
BH2,AW2,primary,lateral,2500,130,Lateral flow to central production zone
BH2,AW4,secondary,lateral,2200,110,Lateral flow to western production zone
BH3,AW1,secondary,lateral,2300,140,Lateral cross-gradient to upper production
BH3,AW5,primary,lateral,2800,160,Lateral primary downstream to lower central
BH4,AW4,secondary,lateral,1400,90,Lateral short connection to western well
BH4,AW6,primary,lateral,2900,170,Lateral primary downstream to lower west production
AW1,AW5,cascade,lateral,1700,60,Deep groundwater lateral cascade
AW2,AW5,cascade,lateral,1100,45,Production zone lateral interconnection
AW3,AW5,cascade,lateral,1900,70,Eastern to central lateral cascade
AW4,AW6,cascade,lateral,1500,55,Western production lateral interconnection
